Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,05-02-2010,1889275.29,0,26.24,2.301,126.984306,10.738
1,12-02-2010,2282834.27,1,31.95,2.271,130.567803,9.441
1,19-02-2010,1951324.39,0,27.42,2.565,125.47319,9.281
1,26-02-2010,2035811.13,0,41.49,2.658,132.569564,10.692
1,05-03-2010,2039019.92,0,44.26,2.307,134.295438,9.738
1,12-03-2010,2014494.34,0,55.08,2.407,133.670481,10.192
1,19-03-2010,1937478.6,0,47.55,2.696,134.173782,11.37
1,26-03-2010,2108352.06,0,68.23,2.421,128.901913,9.792
1,02-04-2010,1891584.34,0,64.25,2.703,131.689407,9.298
1,09-04-2010,1882761.92,0,53.26,2.687,131.232899,9.384
1,16-04-2010,2130409.16,0,64.95,2.622,134.565571,11.162
1,23-04-2010,2090704.6,0,56.14,2.693,132.409157,9.401
1,30-04-2010,2227201.86,0,56.25,2.202,136.119198,9.353
1,07-05-2010,2034445.48,0,70.72,2.584,136.165603,7.705
1,14-05-2010,1954154.17,0,76.42,2.615,127.422687,8.634
1,21-05-2010,1948644.52,0,68.61,2.561,133.193599,9.689
1,28-05-2010,2131189.38,0,66.45,2.548,135.08132,10.004
1,04-06-2010,2158605.44,0,84.86,2.755,141.843272,8.734
1,11-06-2010,2346967.92,0,86.35,2.519,138.971887,9.129
1,18-06-2010,2269253.1,0,78.6,2.584,131.533396,9.67
1,25-06-2010,2269300.78,0,72.51,2.761,139.181327,9.192
1,02-07-2010,2039170.23,0,86.88,2.492,141.822614,10.867
1,09-07-2010,2152116.0,0,80.76,2.469,147.338252,10.838
1,16-07-2010,2123479.92,0,83.5,2.745,138.683792,9.75
1,23-07-2010,2183555.27,0,87.08,2.728,136.698942,10.546
1,30-07-2010,2326590.16,0,76.15,2.828,149.275495,8.655
1,06-08-2010,2197462.26,0,82.48,2.841,153.665783,9.209
1,13-08-2010,1985621.43,0,74.66,2.604,144.49561,9.775
1,20-08-2010,2113735.52,0,84.96,2.737,152.84809,9.148
1,27-08-2010,2416687.43,0,83.75,2.615,140.925258,9.874
1,03-09-2010,2053088.48,0,76.28,2.823,146.614876,8.524
1,10-09-2010,2591223.88,1,73.28,2.573,148.544226,9.735
1,17-09-2010,1972614.71,0,72.92,2.777,142.662771,9.686
1,24-09-2010,2151979.9,0,78.5,2.935,142.188576,8.37
1,01-10-2010,2146937.97,0,63.08,2.863,169.039881,9.858
1,08-10-2010,2224335.27,0,65.72,2.891,148.899178,10.025
1,15-10-2010,1988827.41,0,58.58,2.729,151.584196,11.559
1,22-10-2010,1854030.26,0,64.12,2.569,149.514467,10.313
1,29-10-2010,2093640.32,0,53.53,2.712,155.971415,8.472
1,05-11-2010,2536718.91,0,60.86,2.922,143.147014,9.368
1,12-11-2010,2752826.03,0,47.31,2.911,158.300804,7.961
1,19-11-2010,2477415.41,0,58.59,2.905,148.366909,10.058
1,26-11-2010,3403684.66,1,59.06,2.743,148.971031,8.881
1,03-12-2010,2761273.26,0,30.23,2.845,146.095122,7.798
1,10-12-2010,2805109.26,0,35.21,2.878,168.509215,9.482
1,17-12-2010,2607548.7,0,36.79,2.887,160.704345,9.182
1,24-12-2010,2684572.54,0,50.67,2.989,158.522694,9.474
1,31-12-2010,3172505.23,1,39.69,2.801,157.826522,8.521
1,07-01-2011,1789814.88,0,32.87,3.046,166.829185,9.355
1,14-01-2011,1945325.14,0,30.03,2.827,164.002202,9.582
1,21-01-2011,1625830.16,0,27.68,2.819,166.774722,10.504
1,28-01-2011,1827318.53,0,42.83,2.931,165.074101,8.62
1,04-02-2011,1901520.91,0,34.32,3.223,167.689772,7.117
1,11-02-2011,2566188.12,1,41.74,3.039,163.001703,7.991
1,18-02-2011,1725568.39,0,48.62,2.907,167.781303,9.481
1,25-02-2011,2146509.33,0,39.47,2.885,162.106347,9.078
1,04-03-2011,1917650.21,0,39.56,2.862,164.093603,9.136
1,11-03-2011,2279988.16,0,53.15,2.954,165.765059,7.802
1,18-03-2011,2095769.34,0,46.27,3.035,162.423286,9.303
1,25-03-2011,2288325.47,0,47.35,3.055,170.709461,8.361
1,01-04-2011,2127024.4,0,58.08,3.018,164.092993,8.766
1,08-04-2011,2161533.61,0,66.71,3.156,179.423255,7.953
1,15-04-2011,2208467.43,0,59.1,3.349,165.315152,7.86
1,22-04-2011,2026989.99,0,45.26,2.95,166.260281,8.829
1,29-04-2011,2144057.6,0,69.26,3.18,167.870726,7.759
1,06-05-2011,2163256.05,0,60.08,3.32,177.351746,8.167
1,13-05-2011,1891041.9,0,76.12,3.037,178.342928,7.021
1,20-05-2011,2029466.78,0,68.03,3.069,170.602819,9.217
1,27-05-2011,1972149.11,0,67.15,3.089,176.124642,9.285
1,03-06-2011,2091312.3,0,73.03,3.033,175.463417,10.6
1,10-06-2011,2392897.32,0,78.41,3.397,183.727753,8.283
1,17-06-2011,2301999.12,0,86.93,3.227,173.482098,8.168
1,24-06-2011,2301045.74,0,67.45,2.927,166.153489,8.22
1,01-07-2011,2310984.01,0,79.08,3.313,181.956688,8.799
1,08-07-2011,2056967.13,0,81.67,3.179,177.584778,6.38
1,15-07-2011,2224724.82,0,81.26,3.118,172.941293,8.914
1,22-07-2011,2198947.13,0,87.73,2.99,181.667086,7.875
